Date,S&P500,CPI
2013-04-01,1597.569946,231.797
2013-05-01,1630.73999,231.893
2013-06-01,1606.280029,232.445
2013-07-01,1685.72998,232.9
2013-08-01,1632.969971,233.456
2013-09-01,1681.550049,233.544
2013-10-01,1756.540039,233.669
2013-11-01,1805.810059,234.1
2013-12-01,1848.359985,234.719
2014-01-01,1782.589966,235.347
2014-02-01,1859.449951,235.522
2014-03-01,1872.339966,235.956
2014-04-01,1883.949951,236.463
2014-05-01,1923.569946,236.867
2014-06-01,1960.22998,237.188
2014-07-01,1930.670044,237.485
2014-08-01,2003.369995,237.439
2014-09-01,1972.290039,237.452
2014-10-01,2018.050049,237.447
2014-11-01,2067.560059,237.042
2014-12-01,2058.899902,236.27
2015-01-01,1994.98999,234.836
2015-02-01,2104.5,235.274
2015-03-01,2067.889893,235.956
2015-04-01,2085.51001,236.165
2015-05-01,2107.389893,236.952
2015-06-01,2063.110107,237.618
2015-07-01,2103.840088,237.993
2015-08-01,1972.180054,237.989
2015-09-01,1920.030029,237.467
2015-10-01,2079.360107,237.764
2015-11-01,2080.409912,238.072
2015-12-01,2043.939941,237.827
2016-01-01,1940.23999,237.99
2016-02-01,1932.22998,237.532
2016-03-01,2059.73999,238.022
2016-04-01,2065.300049,238.843
2016-05-01,2096.949951,239.439
2016-06-01,2098.860107,240.074
2016-07-01,2173.600098,240.058
2016-08-01,2170.949951,240.569
2016-09-01,2168.27002,241.017
2016-10-01,2126.149902,241.667
2016-11-01,2198.810059,242.081
2016-12-01,2238.830078,242.784
2017-01-01,2278.870117,244.028
2017-02-01,2363.639893,244.102
2017-03-01,2362.719971,243.717
2017-04-01,2384.199951,244.087
2017-05-01,2411.800049,243.911
2017-06-01,2423.409912,244.032
2017-07-01,2470.300049,244.236
2017-08-01,2471.649902,245.262
2017-09-01,2519.360107,246.392
2017-10-01,2575.26001,246.583
2017-11-01,2647.580078,247.411
2017-12-01,2673.610107,247.91
2018-01-01,2823.810059,249.245
